real_x,real_y,real_yaw,cluster_x,cluster_y,cluster_yaw,densest_x,densest_y,densest_yaw
-1493.5486357059324,62.86931998101287,0.08558001508034341,-1493.4938472310282,123.02666398572866,6.280099071332752,-1493.5432497253628,122.86636102092507,6.28292111182033
-1494.805561282209,124.78722269155121,0.11344367790805965,-1493.4920001936998,183.1398399332539,6.278709534353974,-1493.5299910419803,182.7343253848003,6.282853849442112
-1496.8716017531551,185.85137743591673,0.10522853395373666,-1493.188662891282,242.54510807254383,6.277806280043004,-1493.509536948793,242.59313134605964,6.282619762388407
-1499.269409758432,250.13101785929172,0.2311288717173321,-1493.2243505299111,302.1432123357531,6.2768334333451765,-1493.505516294107,302.66502181510896,6.282487493040439
-1501.5530893538617,307.4960448564613,0.10053061294851418,-1493.0295980921662,362.1786011966779,6.276105759088774,-1493.6020767765638,362.6802731878015,6.282718766123782
-1503.6185408115794,368.68237917956833,0.09084261532188354,-1492.382392714344,422.4593418637155,6.2752934149035005,-1493.7163556641717,422.5452994701318,6.282997622560582
-1505.1803236572166,430.068924106008,0.08298859251852075,-1492.0606637803373,482.47675315991046,6.274743355968763,-1493.7597081435806,482.48507133319254,6.283001996875835
-1505.4313015627515,492.20132130990754,0.07669786212883523,-1492.213155796207,542.2391468943904,6.2740295145687055,-1494.094197610236,542.4507109867254,6.282744710262596
-1505.7857215409058,552.975646022639,0.05958327808963393,-1495.3601371718123,608.1554716902776,0.009335933961814815,-1493.9432592482153,602.4579463198652,-7.312112901576e-05
-1505.6847499679197,615.57006215314,0.075586331134744,-1491.6116086569552,661.5636190578849,6.273436078643187,-1494.1153091464348,662.2812001319617,6.283096700418104
-1504.7984521624905,676.3857448879987,0.04063911843397072,-1491.451294032512,721.5524061027354,6.272858643183463,-1494.172422102681,722.2708157582592,6.282936684458758
-1503.5162411467606,739.3438846094416,0.05349437781509181,-1497.2783548836917,782.5016378865905,0.010509399631573773,-1494.127899421093,782.5137059195868,-8.626736108657261e-05
-1501.9184850661798,802.982026135787,0.037046408394076025,-1490.849068257982,841.488043196834,6.271999227547907,-1494.18072396355,842.3159537162219,6.283418709515913
-1500.0841301931869,864.3030967439998,0.026984929702195792,-1497.6788568943832,902.9638882883753,0.01161708731668658,-1493.9184537277595,902.5190119042782,0.0004579637287805492
-1497.2180761346458,925.8604430694536,0.01908461135371109,-1498.2868354988752,962.7180667602222,0.01199771490103296,-1493.9869556885662,962.4308699820022,0.0004490074235753317
-1494.2734837556075,986.6704316745733,0.016881902453562248,-1498.501442790567,1023.3928682906104,0.012424775081084298,-1493.8883377250154,1022.2156858939679,0.0003408352205007838
-1490.9235903149497,1051.5078250754639,0.1284514119440523,-1498.6087949369428,1082.7046047983094,0.012351958079811582,-1493.8579064560115,1082.2458193298407,0.0007334654122448073
-1487.5477473327298,1112.7608404469029,0.1364268727602429,-1499.4955909590647,1142.478648196872,0.012718298485760829,-1493.8543647183112,1142.5584145979892,0.0003143353145348095
-1484.2243500560185,1173.9003802260763,0.13888843001167572,-1500.840599182565,1210.9939237715241,0.013067750545362126,-1493.9429026276628,1202.8699045122503,0.00014189632839313636
-1480.9036958867453,1235.026315387717,0.13559407355364428,-1501.6184418008768,1263.3342445675776,0.013823609406146598,-1494.1187561598476,1263.0057938799182,0.00012370381307479412
-1477.5849343555533,1296.176276838987,0.1388921006376833,-1502.1913628571758,1323.4090769429904,0.014013872574492426,-1494.1206854987606,1322.8499912705802,-7.281306871035754e-05
-1474.2702444993506,1357.3031266975788,0.1356837258465271,-1503.226809039628,1380.227946765365,0.014105247149277,-1494.0362901364663,1382.877923695136,-0.00020859382764326114
-1470.9575386041433,1418.4535116107766,0.1389825921195582,-1484.1340876081692,1442.5138189226395,6.268608870435513,-1493.781954408579,1442.8704954980767,6.2828238932363885
-1467.648802199569,1479.5808141924142,0.13575678728856744,-1484.3236451434568,1502.1756131571158,6.26826116361312,-1493.9663521791501,1502.5808599423126,6.2830578867924896
-1464.3479265874964,1540.735278707154,0.13837351030156064,-1483.5653429195074,1561.0610314231562,6.2678577606810375,-1494.0678742884536,1562.750379991494,6.282654988029175
-1461.0527732627338,1601.8730080836956,0.13816998611611986,-1483.5998258206785,1624.6188186724987,6.2667635036029425,-1494.2288478869998,1622.7909701878434,6.282940948935422
-1457.7594998052145,1663.0119669662329,0.13825680049345124,-1482.892691512085,1681.5317799682455,6.26641986008767,-1494.3409280618773,1682.9160211184872,6.282935402284636
-1454.4684416746966,1724.1507983603947,0.13828237620028716,-1482.1315055037103,1742.1905458746066,6.265977529413372,-1494.3838419452807,1743.1616978252896,6.282680382923538
-1451.1794983482098,1785.2897848180555,0.1383202809866244,-1506.893468867728,1813.6194536719868,0.016948090214533192,-1494.3973504576047,1802.8894403374425,-0.0007829496888834289
-1447.8926613119704,1846.428865584724,0.13835514960463335,-1479.6453792555583,1861.4982415757715,6.26473630844285,-1494.3452982473411,1862.8610052050599,6.282406963559382
-1444.6079029237997,1907.568051428281,0.13839016233585344,-1479.4492842913799,1921.5452415439104,6.264647827482094,-1494.2255903807445,1922.6897088342048,6.282293958888921
-1441.3570861192786,1968.7146683877568,0.13827577258428558,-1479.0839223527182,1976.800559607503,6.264454421797468,-1494.339044422158,1982.7966907122382,6.2825807588165
-1438.4828292208751,2026.3580052003415,0.015084932437495091,-1478.0150675103732,2042.3795318717735,6.264241974454247,-1494.288335380906,2042.8934511941952,6.282800033334003
