real_x,real_y,real_yaw,cluster_x,cluster_y,cluster_yaw,densest_x,densest_y,densest_yaw,std_x,std_y,std_yaw
-1493.5486357059324,62.86931998101287,0.08558001508034341,-1493.7925296232477,122.73155009936629,0.003148368085816023,-1493.662456515173,122.97471053198478,-0.00019701742917241133,65.54473011842697,66.34441800445363,99.88792712565095
-1494.805561282209,124.78722269155121,0.11344367790805965,-1493.6735330479098,183.10015921402558,6.278488769679444,-1493.7506360041177,182.94970361272772,6.2825841328977186,91.04615327602244,93.88787748736137,95.42298059885323
-1496.8716017531551,185.85137743591673,0.10522853395373666,-1493.437868997828,243.05284977681393,6.2773173947306,-1493.7734263181496,242.92258390772258,6.28266607779504,113.85701638376145,116.79619619284362,97.85701128944771
-1499.269409758432,250.13101785929172,0.2311288717173321,-1493.6612541215864,302.7204124856305,6.276407135495947,-1494.013409290012,302.86641693665297,6.282514779939339,129.8513744272347,129.09019222260525,97.23669575225762
-1501.5530893538617,307.4960448564613,0.10053061294851418,-1493.1034154321667,362.6922880397199,6.275894160711394,-1494.175188789379,362.8817360286639,6.283187627347651,150.09921517431505,140.6096753271004,100.22268604992577
-1503.6185408115794,368.68237917956833,0.09084261532188354,-1495.5358086781464,422.9307715616893,0.007744389888415368,-1493.8966924298722,422.61479074896215,-0.00041571910614099513,159.8381287126139,154.60552665233058,99.4142925145959
-1505.1803236572166,430.068924106008,0.08298859251852075,-1492.2351225313328,482.62347820012616,6.274459341990313,-1493.730601853566,482.641469764927,6.282823658342966,175.57607277172514,170.1849323354025,97.39768755124915
-1505.4313015627515,492.20132130990754,0.07669786212883523,-1491.3512654577858,542.9100924495334,6.273915820560142,-1493.5072700479263,542.7700059359331,6.282373606654409,193.33829055387196,182.1930048195979,95.76035426106617
-1505.7857215409058,552.975646022639,0.05958327808963393,-1491.6030711208766,608.1083645040151,6.273967136718857,-1493.322009792171,602.8145411316982,6.282199876259949,206.6947635081175,191.20864552780495,97.18379066971075
-1505.6847499679197,615.57006215314,0.075586331134744,-1490.2214675917207,662.783968157639,6.272807695686858,-1493.0331790451141,662.7002907820079,6.28209032489503,219.38331352917098,201.87954542691185,94.91578155095924
